id,name,ra,dec,type,sub
NGC281,Pacman,13.1046,56.565,NB,emission nebula
NGC3372,Carina,161.2593,-59.6999,NB,emission nebula
NGC4565,Needle,189.0867,25.9874,RGB,galaxy
NGC6543,Cat's Eye,269.6392,66.633,NB,planetary nebula
NGC6888,Crescent,303.0273,38.3549,NB,WR*
NGC6960,Veil (West),311.4083,30.7083,NB,emission nebula
NGC6992,Veil (East),314.0792,31.7433,NB,sh
NGC7000,North America,314.6958,44.33,NB,star cluster
NGC7293,Helix,337.4106,-20.8372,NB,planetary nebula
NGC7331,NGC7331,339.2669,34.4158,RGB,galaxy
NGC7380,Wizard,341.8167,58.125,NB,open cluster
NGC7635,Bubble,350.2012,61.2017,NB,emission nebula
NGC7822,NGC7822,0.2858,67.4214,NB,emission nebula
NGC869,Double Cluster,34.7408,57.1339,RGB,open cluster
NGC884,Double Cluster,35.5842,57.1489,RGB,open cluster
NGC891,NGC891,35.6371,42.3483,RGB,galaxy
